source target similarity
HIF1A E2F3 0.00636497920915
RARA EGR2 0.00573058326986
ZNF148 E2F3 0.00792059187278
NHLH1 SOX8 0.0230831341325
NHLH1 SOX11 0.0169220280684
POU4F1 REST 0.00368879555326
SRF EGR1 0.00500296096947
BRF1 TBX5 0.0250018043814
NHLH1 MYCN 0.0162415373633
EBF3 EGR1 0.00502433607321
ZNF350 EGR1 0.00396550812734
TCF3 PATZ1 0.00635917615634
SOX13 REST 0.00383799734528
ZNF589 SRF 0.00326510032044
HAND2 TRIM28 0.00203501135101
TCF7 EGR3 0.00426654440989
IRF8 POU3F3 0.00714208498004
ATF6 HSP90B1 0.286926365673
RBPJ HES5 1.5011822601
NFYA CREB1 0.00138068838018
HSF2 TBX5 0.0259563171924
MAFB ZNF217 0.0140642428078
BACH1 SREBF2 0.00401587105472
ZNF148 SOX13 0.0254089173189
HBP1 EGR1 0.00420232225923
TRIM28 ARNTL2 0.0126455596375
FOS VDR 0.00918207764928
VDR SMAD1 0.00608656047597
NRF1 REST 0.00422084808537
MEF2A IRF5 0.00560225170523
HOXB3 LMO2 0.00548591740924
ZNF263 IRF5 0.0071958691978
BIRC5 TCF7 0.00591545770445
MYBL2 EBF3 0.0228077866795
STAT5A EGR2 0.0065037149933
EMP1 CTNNB1 0.0015708937823
STAT1 ZNF238 0.00882380304468
ZNF148 ZNF217 0.0158001869275
GABPA NHLH1 0.0127427039677
E2F1 FBXO5 0.154764951976
ZNF384 PATZ1 0.00361829905931
STAT3 DDIT3 0.0127622689175
MAD1L1 GABPA 0.00204496559186
MAFB ZNF384 0.00275517953401
ETV4 POU3F3 0.00628062962768
IKZF1 SPI1 0.00546675161521
POU2F1 SREBF2 0.0045970650935
IRF2 ZNF238 0.00893081033629
NFYA EBF1 0.00479575521427
CREB1 ZNF143 0.00159628012911
RELB IRF2 0.00352078647607
NR3C1 SIRT6 0.00866208548515
POU4F1 EGR1 0.00374049742908
TFAP4 E2F1 0.00842345359334
FOS SREBF2 0.00551222366443
ZNF238 TCF3 0.00322030678227
MEF2A HAND2 0.0202643616333
GABPA MEF2A 0.00310903937259
RB1 E2F1 0.00513045252496
NFYA LMO2 0.00678130061383
SMAD5 FOXO1 0.00228590575523
SRF TRIM28 0.00210436992823
RAD51 STAT5A 0.00357276362037
TCF3 RELA 0.0019176712873
CUX1 VDR 0.00615203400368
MXD4 TBX5 0.0265852054303
DEAF1 REST 0.00578908312435
RCN1 CTNNB1 0.0015708937823
SOX11 ELF1 0.00539725314725
NFE2L2 NKX2-5 0.0411820512584
LMO2 IRF5 0.00544287948513
GTF2IRD1 REST 0.00467264459783
E2F1 STIL 0.774015548156
BHLHE41 LMO2 0.00686631933133
MEF2A IRF8 0.00734456395439
POU2F1 ZNF238 0.00841712585388
EGR1 HMX1 0.0836154613095
IRF5 NFE2L2 0.00274478928524
MAZ MYBL2 0.0200043467684
MAFG IRF8 0.00705592226212
EGR3 SPI1 0.0068771196647
MEIS2 SOX4 0.020965477623
ZNF148 DEAF1 0.00452448632536
E4F1 THRB 0.00683682991892
STAT1 NKX2-5 0.0417438094968
RELA TCF3 0.00421161385396
JUNB HSF1 0.00431763728921
HIF1A EN1 0.0349571078682
FOXJ1 NR3C1 0.00325581523612
TCF3 TP73 0.0267025215161
IRF2 ZNF148 0.00193119447732
LMO2 POU3F3 0.00656107481064
JUNB NHLH1 0.0142944646337
CTNNB1 APCDD1 0.402615879308
POU2F1 MXD4 0.00445972993336
SREBF2 DLX1 0.0244454477768
CUX1 ZNF143 0.00137450044897
ZNF143 HBP1 0.00343470375964
ELF1 FOXM1 0.0123023600427
HEY2 NOTCH1 0.0205797529288
ESRRA BRF1 0.00538957718426
ZNF238 E2F1 0.00615612107
EGR1 ZNF384 0.00376837114065
ESRRA RELB 0.00454901294983
SRF SPI1 0.00440570082721
E2F2 BIRC5 0.164558367001
BRF1 IRF1 0.00322617714635
ZNF143 VDR 0.00740461773992
VDR POU3F3 0.00811060387469
ETV4 TFCP2L1 0.0145724538256
ELK3 TBX5 0.027104234788
THRB EGR2 0.00491318541074
FOS NFE2L3 0.0110154362866
NFE2L3 TCF7 0.00693309213099
NFYC SOX4 0.0226610550711
ITGB2 SMAD1 0.00417314921969
NFYA SMAD1 0.00538728047621
IRF2 LMO2 0.00659718926002
VDR CREB1 0.00155971135034
IGF2 CEBPB 0.00384800489532
FOS SOX15 0.0125261780547
TP73 SPI1 0.00372464643858
CUX1 EBF3 0.0238599827987
CREM IRF5 0.00504538355623
PATZ1 NFIB 0.00597477977691
MAFG EGR3 0.00534295802433
REST TCF3 0.00501510402232
ZNF263 SRF 0.00437885291059
ZNF148 EBF3 0.0322111549164
ZNF148 SOX4 0.0250636986945
E2F1 NKX2-5 0.0441638555251
BACH1 NFE2L3 0.0103570811857
MYH11 NOTCH1 0.019111946727
DLX1 POU2F1 0.00570402804798
FOXJ1 ZNF263 0.00202876811241
GATA2 TBX5 0.0303683222072
NFIX HSF1 0.00392025612997
PAX3 IRX5 0.0162333194719
LTF NHLH1 0.00916710153833
CUX1 ZNF263 0.00198472990343
IL8 STAT1 0.00249306347615
ZNF238 GTF2IRD1 0.00461544275306
STAT1 E2F1 0.00799598607037
FOS STAT3 0.00350349341924
TBX5 MAZ 0.00346170480514
POU2F1 STAT1 0.00395845644117
EBF3 SP1 0.00118075926655
FOXO1 ELK3 0.0122370266819
POU2F1 REST 0.00495071837998
MYBL2 TCF3 0.00286168885952
EBF1 ZNF384 0.00306502162337
MXD4 LMO2 0.00567586660578
VDR SOX11 0.0185743705688
LMO2 MEIS2 0.00891583062668
ATF6 SEL1L 0.50241812717
SPI1 NKX2-5 0.0436665494088
ZNF148 DLX1 0.0248861218933
FCGR1A STAT1 0.00246563133409
EBF3 POU2F1 0.00654826479003
EGR2 CREB1 0.00175012333726
GATA2 RBPJ 0.00270850134936
ERBB2 RBPJ 0.00197766636858
PAX3 IRF1 0.00341343474961
DLX2 NFE2L2 0.00234118646438
BHLHE41 REST 0.00528547658198
SOX11 SREBF2 0.00366476247271
NFYA TCF3 0.00438675904084
STAT5A HOXB3 0.0213309738694
ZNF238 NHLH1 0.0121306714831
STAT1 RELB 0.00492584666054
GTF2IRD1 MAZ 0.00336141146702
CEBPD NKX2-5 0.0373658987235
DEAF1 TRIM28 0.00249976866139
NHLH1 ARNTL2 0.0115524441701
MEF2A CUX1 0.00373555574494
TP73 RELB 0.00414796488466
GABPA MXD4 0.00434056283991
NFE2L2 DDIT3 0.01204660456
MAD1L1 HINFP 0.00592077432614
MXD4 E2F1 0.00601029153464
SOCS3 STAT1 0.00247693216015
BHLHE41 MAD1L1 0.00619054564134
SERPINA1 CTNNB1 0.0015708937823
SPI1 EBF1 0.00515995080557
GBX2 EGR3 0.00368679515544
POU2F1 DLX1 0.021321552745
